
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       2540
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:4001           0.0.0.0:0              LISTENING       26344
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11688
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       5132
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       2240
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       2060
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2260
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4228
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       5808
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       2184
  TCP    0.0.0.0:59869          0.0.0.0:0              LISTENING       18252
  TCP    127.0.0.1:1234         0.0.0.0:0              LISTENING       22280
  TCP    127.0.0.1:4001         127.0.0.1:50413        TIME_WAIT       0
  TCP    127.0.0.1:4001         127.0.0.1:50414        ESTABLISHED     26344
  TCP    127.0.0.1:4001         127.0.0.1:52850        ESTABLISHED     26344
  TCP    127.0.0.1:4001         127.0.0.1:61283        ESTABLISHED     26344
  TCP    127.0.0.1:4001         127.0.0.1:64927        TIME_WAIT       0
  TCP    127.0.0.1:4001         127.0.0.1:64928        TIME_WAIT       0
  TCP    127.0.0.1:4271         0.0.0.0:0              LISTENING       46620
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       50336
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING       20980
  TCP    127.0.0.1:8769         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:27017        0.0.0.0:0              LISTENING       6300
  TCP    127.0.0.1:35783        0.0.0.0:0              LISTENING       16184
  TCP    127.0.0.1:41343        0.0.0.0:0              LISTENING       22280
  TCP    127.0.0.1:50414        127.0.0.1:4001         ESTABLISHED     26344
  TCP    127.0.0.1:52850        127.0.0.1:4001         ESTABLISHED     7616
  TCP    127.0.0.1:52892        127.0.0.1:52893        ESTABLISHED     46620
  TCP    127.0.0.1:52893        127.0.0.1:52892        ESTABLISHED     46620
  TCP    127.0.0.1:53099        0.0.0.0:0              LISTENING       36848
  TCP    127.0.0.1:53101        0.0.0.0:0              LISTENING       36848
  TCP    127.0.0.1:53593        127.0.0.1:53594        ESTABLISHED     50336
  TCP    127.0.0.1:53594        127.0.0.1:53593        ESTABLISHED     50336
  TCP    127.0.0.1:55067        127.0.0.1:4271         TIME_WAIT       0
  TCP    127.0.0.1:55068        127.0.0.1:4271         TIME_WAIT       0
  TCP    127.0.0.1:55069        127.0.0.1:4271         TIME_WAIT       0
  TCP    127.0.0.1:56442        127.0.0.1:4271         TIME_WAIT       0
  TCP    127.0.0.1:57888        127.0.0.1:5199         SYN_SENT        33348
  TCP    127.0.0.1:58222        0.0.0.0:0              LISTENING       35352
  TCP    127.0.0.1:58222        127.0.0.1:58224        ESTABLISHED     35352
  TCP    127.0.0.1:58224        127.0.0.1:58222        ESTABLISHED     27324
  TCP    127.0.0.1:61127        127.0.0.1:61128        ESTABLISHED     50336
  TCP    127.0.0.1:61128        127.0.0.1:61127        ESTABLISHED     50336
  TCP    127.0.0.1:61283        127.0.0.1:4001         ESTABLISHED     7616
  TCP    127.0.0.1:61285        127.0.0.1:4001         TIME_WAIT       0
  TCP    127.0.0.1:64072        127.0.0.1:64073        TIME_WAIT       0
  TCP    192.168.1.178:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.1.178:49179    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:49181    34.149.66.165:443      ESTABLISHED     7616
  TCP    192.168.1.178:49344    160.79.104.10:443      ESTABLISHED     7976
  TCP    192.168.1.178:49412    20.59.87.227:443       ESTABLISHED     6208
  TCP    192.168.1.178:49687    160.79.104.10:443      ESTABLISHED     37252
  TCP    192.168.1.178:49690    160.79.104.10:443      ESTABLISHED     33780
  TCP    192.168.1.178:49719    74.125.199.188:5228    ESTABLISHED     33348
  TCP    192.168.1.178:49845    160.79.104.10:443      ESTABLISHED     32760
  TCP    192.168.1.178:49964    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:50067    160.79.104.10:443      ESTABLISHED     38740
  TCP    192.168.1.178:50068    160.79.104.10:443      ESTABLISHED     38740
  TCP    192.168.1.178:50071    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:50072    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:50155    160.79.104.10:443      ESTABLISHED     7616
  TCP    192.168.1.178:50170    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:50171    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:50172    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:50271    160.79.104.10:443      ESTABLISHED     22092
  TCP    192.168.1.178:50412    34.106.8.177:443       ESTABLISHED     18040
  TCP    192.168.1.178:50643    160.79.104.10:443      ESTABLISHED     13928
  TCP    192.168.1.178:50792    172.217.114.4:443      ESTABLISHED     50336
  TCP    192.168.1.178:50868    52.178.17.233:443      ESTABLISHED     13700
  TCP    192.168.1.178:50875    160.79.104.10:443      ESTABLISHED     39644
  TCP    192.168.1.178:50926    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:51041    160.79.104.10:443      ESTABLISHED     7976
  TCP    192.168.1.178:51111    160.79.104.10:443      ESTABLISHED     29784
  TCP    192.168.1.178:51154    160.79.104.10:443      ESTABLISHED     29784
  TCP    192.168.1.178:51155    134.224.4.182:443      ESTABLISHED     50336
  TCP    192.168.1.178:51483    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:51484    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:51653    160.79.104.10:443      ESTABLISHED     7616
  TCP    192.168.1.178:51799    192.168.1.48:8009      ESTABLISHED     18040
  TCP    192.168.1.178:51915    160.79.104.10:443      ESTABLISHED     21300
  TCP    192.168.1.178:51981    160.79.104.10:443      ESTABLISHED     22092
  TCP    192.168.1.178:52167    104.18.124.108:443     TIME_WAIT       0
  TCP    192.168.1.178:52168    104.18.124.108:443     TIME_WAIT       0
  TCP    192.168.1.178:52187    160.79.104.10:443      ESTABLISHED     27736
  TCP    192.168.1.178:52514    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:52555    160.79.104.10:443      ESTABLISHED     28772
  TCP    192.168.1.178:52576    192.168.1.53:8009      ESTABLISHED     18040
  TCP    192.168.1.178:52648    23.46.216.201:443      ESTABLISHED     18040
  TCP    192.168.1.178:52649    184.28.149.124:443     ESTABLISHED     5132
  TCP    192.168.1.178:52669    160.79.104.10:443      ESTABLISHED     14812
  TCP    192.168.1.178:52855    34.149.66.165:443      ESTABLISHED     41472
  TCP    192.168.1.178:52906    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:52909    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:52910    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:52911    160.79.104.10:443      ESTABLISHED     21172
  TCP    192.168.1.178:52969    160.79.104.10:443      ESTABLISHED     41412
  TCP    192.168.1.178:53209    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:53215    160.79.104.10:443      ESTABLISHED     36684
  TCP    192.168.1.178:53245    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:53340    160.79.104.10:443      ESTABLISHED     38856
  TCP    192.168.1.178:53482    74.125.195.188:5228    ESTABLISHED     18040
  TCP    192.168.1.178:53595    170.114.46.13:443      ESTABLISHED     50336
  TCP    192.168.1.178:53596    170.114.45.1:443       ESTABLISHED     50336
  TCP    192.168.1.178:53920    34.149.66.165:443      ESTABLISHED     22808
  TCP    192.168.1.178:53921    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:54131    160.79.104.10:443      ESTABLISHED     14288
  TCP    192.168.1.178:54267    44.238.43.4:443        ESTABLISHED     8492
  TCP    192.168.1.178:54448    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:54586    160.79.104.10:443      ESTABLISHED     6988
  TCP    192.168.1.178:55070    160.79.104.10:443      ESTABLISHED     13948
  TCP    192.168.1.178:55072    151.101.64.223:443     ESTABLISHED     46084
  TCP    192.168.1.178:55077    184.28.149.187:443     ESTABLISHED     5132
  TCP    192.168.1.178:55078    160.79.104.10:443      ESTABLISHED     41412
  TCP    192.168.1.178:55079    76.223.94.4:443        TIME_WAIT       0
  TCP    192.168.1.178:55105    160.79.104.10:443      ESTABLISHED     33780
  TCP    192.168.1.178:55148    57.144.217.32:443      TIME_WAIT       0
  TCP    192.168.1.178:55278    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:55280    34.149.66.163:443      ESTABLISHED     13948
  TCP    192.168.1.178:55392    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:55400    52.123.248.73:443      ESTABLISHED     4192
  TCP    192.168.1.178:55405    151.101.192.223:443    ESTABLISHED     5132
  TCP    192.168.1.178:55421    52.250.42.157:443      TIME_WAIT       0
  TCP    192.168.1.178:55422    52.250.42.157:443      TIME_WAIT       0
  TCP    192.168.1.178:55708    140.82.112.26:443      ESTABLISHED     18040
  TCP    192.168.1.178:55871    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:55907    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:56060    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:56061    160.79.104.10:443      ESTABLISHED     22808
  TCP    192.168.1.178:56453    160.79.104.10:443      ESTABLISHED     20092
  TCP    192.168.1.178:56506    23.53.122.144:443      ESTABLISHED     43880
  TCP    192.168.1.178:56508    23.46.228.4:443        ESTABLISHED     43880
  TCP    192.168.1.178:56509    23.216.145.27:443      ESTABLISHED     43880
  TCP    192.168.1.178:56512    20.190.190.132:443     ESTABLISHED     29444
  TCP    192.168.1.178:56565    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.178:56708    35.190.46.17:443       ESTABLISHED     28772
  TCP    192.168.1.178:56727    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:56728    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:56866    160.79.104.10:443      ESTABLISHED     39644
  TCP    192.168.1.178:56869    35.190.46.17:443       ESTABLISHED     36684
  TCP    192.168.1.178:56943    160.79.104.10:443      ESTABLISHED     41384
  TCP    192.168.1.178:57117    160.79.104.10:443      ESTABLISHED     32760
  TCP    192.168.1.178:57155    57.144.217.32:5222     ESTABLISHED     24824
  TCP    192.168.1.178:57159    151.101.192.223:443    ESTABLISHED     5132
  TCP    192.168.1.178:57164    104.18.124.108:443     ESTABLISHED     29232
  TCP    192.168.1.178:57210    48.216.185.246:443     ESTABLISHED     21652
  TCP    192.168.1.178:57447    23.40.175.254:443      ESTABLISHED     11012
  TCP    192.168.1.178:57661    140.82.113.26:443      ESTABLISHED     18040
  TCP    192.168.1.178:57701    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:57702    160.79.104.10:443      ESTABLISHED     41472
  TCP    192.168.1.178:57725    160.79.104.10:443      ESTABLISHED     14288
  TCP    192.168.1.178:57889    160.79.104.10:443      ESTABLISHED     40520
  TCP    192.168.1.178:58015    160.79.104.10:443      ESTABLISHED     38740
